district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ควนขนุน,ทะเลน้อย,6,constituency,election_day,337,327,6,4,77,2,33,205,10,0,0
ควนขนุน,ทะเลน้อย,7,constituency,election_day,456,433,10,13,107,5,28,269,20,2,2
ควนขนุน,ทะเลน้อย,8,constituency,election_day,408,393,5,10,121,15,26,213,18,0,0
ควนขนุน,ทะเลน้อย,9,constituency,election_day,387,374,12,1,98,4,21,236,14,0,1
ควนขนุน,นาขยาด,0,constituency,election_day,681,653,13,15,178,0,95,312,60,4,4
ควนขนุน,นาขยาด,1,constituency,election_day,656,625,9,22,130,1,64,374,49,6,1
ควนขนุน,นาขยาด,2,constituency,election_day,326,316,3,7,49,1,36,207,20,2,1
ควนขนุน,นาขยาด,3,constituency,election_day,380,357,9,14,62,3,53,216,23,0,0
ควนขนุน,นาขยาด,4,constituency,election_day,471,434,14,23,115,11,60,212,34,1,1
ควนขนุน,นาขยาด,5,constituency,election_day,628,591,18,19,168,5,100,278,33,4,3
ควนขนุน,นาขยาด,6,constituency,election_day,387,371,9,7,201,2,28,119,21,0,0
ควนขนุน,นาขยาด,7,constituency,election_day,393,376,5,12,58,9,65,209,35,0,0
ควนขนุน,นาขยาด,8,constituency,election_day,416,399,4,13,114,1,48,210,18,3,5
ควนขนุน,นาขยาด,9,constituency,election_day,366,345,14,7,92,8,47,167,26,2,3
ควนขนุน,นาขยาด,10,constituency,election_day,404,379,10,15,97,15,60,185,22,0,0
ควนขนุน,นาขยาด,11,constituency,election_day,456,443,5,8,129,4,22,248,38,0,2
ศรีนครินทร์,บ้านนา,0,constituency,election_day,619,582,23,14,189,4,90,250,46,2,1
ศรีนครินทร์,บ้านนา,1,constituency,election_day,185,182,2,1,58,0,10,102,9,3,0
ศรีนครินทร์,บ้านนา,2,constituency,election_day,501,482,12,7,152,1,68,225,33,0,3
ศรีนครินทร์,บ้านนา,3,constituency,election_day,439,422,14,3,135,1,79,194,12,1,0
ศรีนครินทร์,บ้านนา,4,constituency,election_day,314,298,6,10,118,0,31,124,23,2,0
ศรีนครินทร์,บ้านนา,5,constituency,election_day,433,418,6,9,107,1,42,247,19,0,2
ศรีนครินทร์,บ้านนา,6,constituency,election_day,406,395,6,5,158,2,53,161,17,1,3
ศรีนครินทร์,บ้านนา,7,constituency,election_day,591,576,8,7,143,1,113,273,42,0,4
ศรีนครินทร์,บ้านนา,8,constituency,election_day,329,317,5,7,140,0,25,117,35,0,0
ศรีนครินทร์,บ้านนา,9,constituency,election_day,341,336,3,2,137,1,80,94,23,0,1
ศรีนครินทร์,บ้านนา,10,constituency,election_day,427,413,10,4,108,0,42,233,28,0,2
ศรีนครินทร์,บ้านนา,11,constituency,election_day,387,362,14,11,202,2,38,100,18,1,1
ป่าพะยอม,บ้านพร้าว,0,constituency,election_day,438,416,0,22,116,3,76,153,64,0,4
ป่าพะยอม,บ้านพร้าว,1,constituency,election_day,392,366,3,23,104,4,62,161,34,0,1
ป่าพะยอม,บ้านพร้าว,2,constituency,election_day,506,479,11,16,117,7,54,269,30,1,1
ป่าพะยอม,บ้านพร้าว,3,constituency,election_day,677,648,13,16,134,5,61,408,38,2,0
ป่าพะยอม,บ้านพร้าว,4,constituency,election_day,318,297,8,13,118,8,53,87,27,2,2
ป่าพะยอม,บ้านพร้าว,5,constituency,election_day,243,225,7,11,40,3,38,132,10,1,1
ป่าพะยอม,บ้านพร้าว,6,constituency,election_day,628,613,5,10,164,2,47,363,33,2,2
ป่าพะยอม,บ้านพร้าว,7,constituency,election_day,373,356,13,4,73,0,31,232,18,0,2
ป่าพะยอม,บ้านพร้าว,8,constituency,election_day,687,657,21,9,122,8,59,437,24,4,3
ป่าพะยอม,บ้านพร้าว,9,constituency,election_day,636,605,14,17,138,5,66,341,51,2,2
ป่าพะยอม,บ้านพร้าว,10,constituency,election_day,443,419,12,12,98,4,65,227,22,2,1
ควนขนุน,ปันแต,0,constituency,election_day,227,219,6,2,124,2,21,63,8,0,1
ควนขนุน,ปันแต,1,constituency,election_day,129,127,1,1,100,0,0,25,2,0,0
ควนขนุน,ปันแต,2,constituency,election_day,493,478,7,8,136,3,51,271,15,0,2
ควนขนุน,ปันแต,3,constituency,election_day,251,236,3,12,63,12,23,135,3,0,0
ควนขนุน,ปันแต,4,constituency,election_day,490,479,6,5,193,0,29,237,19,1,0
ควนขนุน,ปันแต,5,constituency,election_day,498,481,11,6,123,24,14,308,10,1,1
ควนขนุน,ปันแต,6,constituency,election_day,200,192,4,4,72,2,14,92,12,0,0
ควนขนุน,ปันแต,7,constituency,election_day,171,167,1,3,89,3,18,53,4,0,0
ควนขนุน,ปันแต,8,constituency,election_day,349,341,3,5,179,7,32,111,11,0,1
ควนขนุน,ปันแต,9,constituency,election_day,353,346,3,4,85,1,11,229,19,0,1
ควนขนุน,ปันแต,10,constituency,election_day,384,374,8,2,215,0,15,130,11,1,2
ควนขนุน,ปันแต,11,constituency,election_day,336,331,3,2,101,1,41,166,20,1,1
ควนขนุน,ปันแต,12,constituency,election_day,188,183,2,3,38,0,6,132,5,0,2
ป่าพะยอม,ป่าพะยอม,0,constituency,election_day,453,438,11,4,81,4,49,275,27,2,0
ป่าพะยอม,ป่าพะยอม,1,constituency,election_day,337,319,11,7,36,0,67,192,23,1,0
ป่าพะยอม,ป่าพะยอม,2,constituency,election_day,357,327,10,20,46,2,54,198,25,1,1
ป่าพะยอม,ป่าพะยอม,3,constituency,election_day,511,462,16,33,92,5,108,214,37,4,2
ป่าพะยอม,ป่าพะยอม,4,constituency,election_day,397,382,6,9,124,0,37,198,22,1,0
ป่าพะยอม,ป่าพะยอม,5,constituency,election_day,531,487,14,30,78,10,91,268,38,0,2
ป่าพะยอม,ป่าพะยอม,6,constituency,election_day,498,481,6,11,104,3,78,260,32,0,4
ป่าพะยอม,ป่าพะยอม,7,constituency,election_day,571,553,8,10,145,2,74,310,21,0,1
ควนขนุน,พนมวังก์,0,constituency,election_day,400,390,3,7,162,3,38,167,17,1,2
ควนขนุน,พนมวังก์,1,constituency,election_day,631,604,13,14,196,0,71,297,35,1,4
ควนขนุน,พนมวังก์,2,constituency,election_day,574,555,6,13,168,3,67,253,62,0,2
ควนขนุน,พนมวังก์,3,constituency,election_day,530,508,14,8,117,2,49,302,36,1,1
ควนขนุน,พนมวังก์,4,constituency,election_day,398,374,15,9,197,1,27,130,18,0,1
ควนขนุน,พนมวังก์,5,constituency,election_day,628,607,6,15,173,2,44,350,38,0,0
ควนขนุน,พนมวังก์,6,constituency,election_day,516,491,8,17,139,4,93,215,36,1,3
ควนขนุน,พนมวังก์,7,constituency,election_day,551,530,13,8,192,4,47,255,27,2,3
ควนขนุน,พนางตุง,0,constituency,election_day,412,392,16,4,169,1,14,192,15,0,1
ควนขนุน,พนางตุง,1,constituency,election_day,352,336,10,6,106,2,12,198,18,0,0
ควนขนุน,พนางตุง,2,constituency,election_day,650,624,16,10,218,3,48,311,40,3,1
ควนขนุน,พนางตุง,3,constituency,election_day,367,349,9,9,96,3,46,187,17,0,0
ควนขนุน,พนางตุง,4,constituency,election_day,659,645,10,4,203,3,35,368,29,4,3
ควนขนุน,พนางตุง,5,constituency,election_day,680,655,17,8,186,8,22,417,21,0,1
ควนขนุน,พนางตุง,6,constituency,election_day,483,464,11,8,23,2,15,412,10,0,2
ควนขนุน,พนางตุง,7,constituency,election_day,726,696,21,9,246,0,56,361,31,2,0
ควนขนุน,พนางตุง,8,constituency,election_day,166,163,0,3,49,2,8,96,2,0,6
ควนขนุน,พนางตุง,9,constituency,election_day,632,609,16,7,85,8,42,443,26,4,1
ควนขนุน,พนางตุง,10,constituency,election_day,338,328,4,6,86,2,24,205,10,1,0
ควนขนุน,พนางตุง,11,constituency,election_day,548,525,17,6,112,2,24,365,19,0,3
ควนขนุน,พนางตุง,12,constituency,election_day,510,485,16,9,152,3,24,266,37,0,3
ควนขนุน,มะกอกเหนือ(เทศบาล),0,constituency,election_day,400,389,6,5,56,0,33,276,22,1,1
ควนขนุน,มะกอกเหนือ(เทศบาล),1,constituency,election_day,307,296,1,10,67,0,36,174,17,0,2
ควนขนุน,มะกอกเหนือ(เทศบาล),2,constituency,election_day,374,359,5,10,72,6,49,198,33,0,1
ควนขนุน,มะกอกเหนือ(เทศบาล),3,constituency,election_day,229,222,5,2,67,0,14,131,10,0,0
ควนขนุน,มะกอกเหนือ,0,constituency,election_day,478,458,9,11,95,5,60,263,33,0,2
ควนขนุน,มะกอกเหนือ,1,constituency,election_day,93,92,0,1,14,1,3,66,8,0,0
ควนขนุน,มะกอกเหนือ,2,constituency,election_day,113,107,1,5,40,0,12,53,2,0,0
ควนขนุน,มะกอกเหนือ,3,constituency,election_day,259,254,1,4,83,2,15,133,19,1,1
ควนขนุน,มะกอกเหนือ,4,constituency,election_day,461,441,9,11,243,1,49,110,30,0,8
ควนขนุน,มะกอกเหนือ,5,constituency,election_day,477,452,11,14,189,2,58,162,31,0,10
ควนขนุน,มะกอกเหนือ,6,constituency,election_day,485,472,1,12,169,5,73,177,40,1,7
ควนขนุน,มะกอกเหนือ,7,constituency,election_day,420,409,3,8,117,1,41,225,21,1,3
ควนขนุน,มะกอกเหนือ,8,constituency,election_day,413,400,8,5,188,4,41,137,24,1,5
ควนขนุน,มะกอกเหนือ,9,constituency,election_day,162,156,3,3,78,1,18,43,15,0,1
ป่าพะยอม,ลานข่อย,0,constituency,election_day,328,312,9,7,111,0,35,135,27,2,2
ป่าพะยอม,ลานข่อย,1,constituency,election_day,438,424,10,4,155,1,53,186,28,0,1
ป่าพะยอม,ลานข่อย,2,constituency,election_day,361,350,4,7,131,0,23,174,19,3,0
ป่าพะยอม,ลานข่อย,3,constituency,election_day,355,343,6,6,118,2,34,178,9,2,0
ป่าพะยอม,ลานข่อย,4,constituency,election_day,365,354,8,3,141,0,40,155,12,5,1
ป่าพะยอม,ลานข่อย,5,constituency,election_day,364,350,9,5,152,0,32,144,22,0,0
ป่าพะยอม,ลานข่อย,6,constituency,election_day,628,598,8,22,247,4,72,246,29,0,0
ป่าพะยอม,ลานข่อย,7,constituency,election_day,361,341,13,7,169,2,54,103,11,0,2
ป่าพะยอม,ลานข่อย,8,constituency,election_day,513,499,12,2,195,3,57,219,23,0,2
ป่าพะยอม,ลานข่อย,9,constituency,election_day,507,491,4,12,156,1,51,255,27,1,0
ป่าพะยอม,ลานข่อย,10,constituency,election_day,342,327,6,9,137,2,58,114,16,0,0
ป่าพะยอม,ลานข่อย,11,constituency,election_day,595,581,7,7,268,2,51,243,17,0,0
ศรีนครินทร์,ลำสินธ์ุ,0,constituency,election_day,561,534,8,19,259,2,79,140,53,1,0
