dataset,cluster_col,cluster_id,unit_count,issue_count,issue_rate,latitude_mean,longitude_mean,districts,subdistricts,invalid_ratio_mean,no_vote_ratio_mean,turnout_mean,winner_ratio_mean,winner_margin_mean,vote_entropy_mean,integrity_score_mean
partylist,geo_dbscan_cluster,13,5,1,0.2,7.504385340000001,99.90754411999998,ศรีนครินทร์,ลำสินธ์ุ,0.046021991954876815,0.0064662472736949595,0.9475117607714282,0.565643477741606,0.430056113418694,1.5313409415434058,97.56957545678226
partylist,geo_dbscan_cluster,17,5,1,0.2,7.703421560000001,99.8247694,ศรีบรรพต,เขาปู่,0.0215499544428476,0.02184103614907704,0.9566090094080753,0.574312896070835,0.41419617403083764,1.4968708872114387,98.48568155487607
partylist,geo_dbscan_cluster,18,5,1,0.2,7.65883336,100.00718923999999,ควนขนุน,แพรกหา,0.028152575090068098,0.016272154076241017,0.9555752708336908,0.5837967178141561,0.40665102673875275,1.3833281388120828,93.94347802920088
partylist,geo_dbscan_cluster,19,6,1,0.16666666666666666,7.830307833331666,100.02583372333334,ควนขนุน,แหลมโตนด,0.03249522172406103,0.0068959670950176,0.9606088111809213,0.6435435456109732,0.5186371702039371,1.3522864497877818,98.23731957189659
partylist,geo_dbscan_cluster,-1,131,19,0.1450381679389313,7.727441663840647,99.9721013393593,กงหรา2; ควนขนุน; ป่าพะยอม; ศรีนครินทร์; ศรีบรรพต,ชะมวง; ชะรัด; ชุมพล; ดอนทราย; ตะแพน; ทะเลน้อย; นาขยาด; บ้านนา; บ้านพร้าว; ปันแต; ป่าพะยอม; พนมวังก์; พนางตุง; มะกอกเหนือ; มะกอกเหนือ(เทศบาล); ลานข่อย; ลำสินธ์ุ; สมหวัง; อ่างทอง; เกาะเต่า; เขาปู่; เขาย่า; แพรกหา; แหลมโตนด; โตนดด้วน,0.031638613904798954,0.01375765710105208,0.9546037289941489,0.5736472646090456,0.4068466139623671,1.4722541199333814,97.82126817887729
partylist,geo_dbscan_cluster,2,9,0,0.0,7.470920488888889,99.9871412,กงหรา2,ชะรัด,0.031458183660358144,0.014384855830116913,0.9541569605095249,0.5662521536001693,0.4028651555886007,1.515461517360369,98.13939370037976
partylist,geo_dbscan_cluster,7,7,0,0.0,7.678287457142859,99.95740805714286,ควนขนุน,นาขยาด,0.027003593112878588,0.01856216372229543,0.954434243164826,0.6021501706081871,0.4496809288004336,1.3969511235015621,98.27857706991016
partylist,geo_dbscan_cluster,10,5,0,0.0,7.84571594,99.93499262,ป่าพะยอม,บ้านพร้าว; ป่าพะยอม,0.030721500657421557,0.014223719388568321,0.95505477995401,0.5880402574166668,0.44397100890138486,1.4906213628199763,98.17945057935756
partylist,geo_dbscan_cluster,12,5,0,0.0,7.854725480000001,99.80063428000001,ป่าพะยอม,ลานข่อย,0.027364186353927084,0.01055202859082056,0.9620837850552523,0.6006803236901048,0.4499134428317634,1.4416571212622544,98.42075011048723
partylist,geo_dbscan_cluster,1,4,0,0.0,7.7641611,100.001997525,ควนขนุน,ควนขนุน,0.024232880123885078,0.00742565410261645,0.9683414657734984,0.5227054142057942,0.3244968008430388,1.552721094657504,98.63984291175342
partylist,geo_dbscan_cluster,5,4,0,0.0,7.717675175,99.96409315,ควนขนุน,ดอนทราย,0.02273279474840982,0.012308739959029948,0.9649584652925601,0.5222600290471006,0.3014755795449341,1.534907600055893,98.61718546339891
