district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type
กงหรา2,ชะรัด,8,partylist,election_day,383,360,13,10,0,0,0,0,1,0,0,0,0,49,2,222,5,0,0,0,0,7,0,1,0,0,0,0,43,0,0,1,4,0,1,0,0,0,0,0,2,0,1,11,3,0,0,0,0,1,0,0,1,3,0,1,0,0,0,1,0,360,0,0.033942558746736295,0.02610966057441253,0.9399477806788512,222,0.6166666666666667,0.1361111111111111,1.400603936829718,85.80891143096036,False,False,NORMAL
กงหรา2,ชะรัด,9,partylist,election_day,517,490,22,5,0,0,0,0,1,1,3,1,3,42,3,313,1,1,0,1,0,5,0,0,1,0,0,0,69,1,1,0,5,0,2,0,0,0,0,0,4,0,2,11,5,1,0,0,1,1,0,1,0,7,0,1,0,1,1,0,0,490,0,0.0425531914893617,0.009671179883945842,0.9477756286266924,313,0.6387755102040816,0.14081632653061224,1.4392173286148144,86.42777901780252,False,False,NORMAL
ศรีนครินทร์,ชุมพล,0,partylist,election_day,645,596,25,24,0,0,0,0,0,0,3,0,1,89,1,341,3,0,0,1,0,7,0,0,0,2,1,1,63,0,3,3,7,0,2,0,2,0,0,0,2,1,2,35,8,2,0,1,1,2,0,0,5,2,0,3,1,0,0,1,0,596,0,0.03875968992248062,0.037209302325581395,0.924031007751938,341,0.5721476510067114,0.1493288590604027,1.603142926708638,84.19501576699093,False,True,UNUSUAL_VOTING_PATTERN
ศรีนครินทร์,ชุมพล,1,partylist,election_day,345,328,12,5,1,1,1,0,0,0,1,0,1,45,1,212,4,0,0,0,0,6,0,0,0,0,1,0,15,0,1,1,2,0,0,0,0,0,0,0,2,0,0,19,5,2,0,0,0,0,1,1,1,3,0,0,0,0,0,1,0,328,0,0.034782608695652174,0.014492753623188406,0.9507246376811594,212,0.6463414634146342,0.13719512195121952,1.4172244390712616,86.82335785836904,False,False,NORMAL
ศรีนครินทร์,ชุมพล,2,partylist,election_day,363,339,16,8,0,2,0,1,0,0,0,0,0,71,0,153,5,0,2,0,0,4,1,1,0,1,0,0,30,0,2,2,7,0,0,0,0,1,0,2,1,0,1,37,7,1,0,1,0,1,0,0,2,1,0,0,0,2,0,0,0,339,0,0.0440771349862259,0.02203856749311295,0.9338842975206612,153,0.45132743362831856,0.20943952802359883,1.8186657832012219,78.14930842752604,False,True,UNUSUAL_VOTING_PATTERN
ศรีนครินทร์,ชุมพล,3,partylist,election_day,418,375,19,24,1,6,2,0,0,0,13,1,1,66,1,85,5,0,0,1,0,11,0,0,0,3,0,0,45,3,3,8,8,0,0,1,0,2,0,0,24,0,0,38,18,1,0,0,0,0,1,0,1,23,0,0,0,2,0,1,0,375,0,0.045454545454545456,0.05741626794258373,0.8971291866028708,85,0.22666666666666666,0.176,2.487130261512818,64.65597011214454,True,True,UNUSUAL_VOTING_PATTERN
ศรีนครินทร์,ชุมพล,4,partylist,election_day,402,384,13,5,0,1,1,0,1,0,3,0,1,50,0,248,5,0,1,0,0,6,0,1,0,1,0,0,27,0,1,1,2,0,0,0,1,0,0,0,2,0,0,22,1,1,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,384,0,0.03233830845771144,0.012437810945273632,0.9552238805970149,248,0.6458333333333334,0.13020833333333334,1.3924827409028926,86.68291198614335,False,False,NORMAL
ศรีนครินทร์,ชุมพล,5,partylist,election_day,493,455,22,16,0,0,0,0,1,0,1,0,0,56,1,269,7,0,0,2,0,8,2,1,0,1,0,0,53,1,2,0,6,1,0,2,0,0,0,1,1,1,0,25,2,5,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,455,0,0.04462474645030426,0.032454361054766734,0.922920892494929,269,0.5912087912087912,0.12307692307692308,1.5476020485211812,85.02900592853672,False,True,UNUSUAL_VOTING_PATTERN
ศรีนครินทร์,ชุมพล,6,partylist,election_day,274,259,5,10,0,0,0,0,0,0,1,0,0,41,0,150,2,0,0,0,0,3,0,0,0,1,1,0,25,0,0,3,2,0,1,0,0,0,0,0,1,0,1,14,8,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,259,0,0.01824817518248175,0.0364963503649635,0.9452554744525548,150,0.5791505791505791,0.1583011583011583,1.4919036457872137,86.38114507326542,False,True,UNUSUAL_VOTING_PATTERN
ศรีนครินทร์,ชุมพล,7,partylist,election_day,637,604,20,13,0,1,0,0,0,0,11,1,0,134,0,301,3,0,3,0,0,3,1,2,0,0,0,0,66,1,2,3,5,0,0,0,1,1,0,0,5,0,0,36,4,3,0,2,0,1,0,2,1,2,0,1,0,6,0,2,0,604,0,0.03139717425431711,0.02040816326530612,0.9481946624803768,301,0.49834437086092714,0.22185430463576158,1.663113027339831,81.74934213971365,False,False,NORMAL
ศรีนครินทร์,ชุมพล,8,partylist,election_day,290,274,9,7,0,0,0,0,1,0,0,0,1,35,0,176,3,0,1,0,0,2,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,274,0,0.03103448275862069,0.02413793103448276,0.9448275862068966,176,0.6423357664233577,0.12773722627737227,1.2531950608982103,85.2502994637518,False,False,NORMAL
ศรีนครินทร์,ชุมพล,9,partylist,election_day,349,331,9,9,0,1,0,1,1,0,1,0,1,35,0,206,1,0,1,0,0,5,0,0,0,0,0,0,31,1,1,0,4,0,0,0,1,0,0,0,2,0,1,26,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,331,0,0.025787965616045846,0.025787965616045846,0.9484240687679083,206,0.622356495468278,0.10574018126888217,1.4440862112545312,86.82215869579137,False,False,NORMAL
ศรีนครินทร์,ชุมพล,10,partylist,election_day,547,526,21,0,0,0,0,1,1,0,7,0,0,75,0,310,6,0,1,0,0,10,0,2,1,1,0,0,44,0,0,0,4,0,0,0,0,0,0,0,3,0,4,37,3,0,0,1,0,1,0,0,1,7,0,0,0,3,0,0,3,526,0,0.038391224862888484,0.0,0.9616087751371115,310,0.5893536121673004,0.14258555133079848,1.5334827982154207,85.42621913972037,False,False,NORMAL
ศรีนครินทร์,ชุมพล,11,partylist,election_day,244,224,11,9,0,1,0,0,0,0,0,1,0,35,0,118,3,0,0,0,0,7,0,1,0,1,0,0,20,0,1,1,2,0,1,0,0,0,0,0,0,0,1,22,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,224,0,0.045081967213114756,0.036885245901639344,0.9180327868852459,118,0.5267857142857143,0.15625,1.642228147272172,82.12719159519398,False,True,UNUSUAL_VOTING_PATTERN
ศรีนครินทร์,ชุมพล,12,partylist,election_day,254,245,3,6,2,0,0,0,0,0,2,1,0,24,0,179,1,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,3,1,0,1,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,245,0,0.011811023622047244,0.023622047244094488,0.9645669291338582,179,0.7306122448979592,0.09795918367346938,1.1639447485862942,87.96726365169937,False,True,UNUSUAL_VOTING_PATTERN
