district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว
ศรีนครินทร์,ชุมพล,8,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านควนดินสอ,637,609,10,18,229,1,65,246,66,0,2
ศรีนครินทร์,ชุมพล,9,constituency,election_day,7.650070299999999,99.9772486,ศาลาอเนกประสงค์บ้านสวนโหนด,290,277,8,5,132,1,33,100,10,0,1
ศรีนครินทร์,ชุมพล,10,constituency,election_day,17.0245089,102.9780981,ศาลาประจำหมู่บ้านบ้านหนองหว้า,349,340,7,2,207,0,9,112,11,1,0
ศรีนครินทร์,ชุมพล,11,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านลำกะ,547,519,12,16,228,3,43,210,30,3,2
ศรีนครินทร์,ชุมพล,12,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านต้นธง,244,233,5,6,151,1,19,48,13,0,1
ศรีนครินทร์,ชุมพล,13,constituency,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านนารา,254,245,1,8,159,0,44,30,11,0,1
ศรีนครินทร์,ชุมพล,14,constituency,election_day,7.615725099999999,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองโหรง,275,260,9,6,135,0,17,96,10,0,2
ศรีนครินทร์,ชุมพล,15,constituency,election_day,7.6050041,99.9493424,ศาลาประจำหมู่บ้านบ้านชุมทอง,247,239,2,6,126,1,20,82,10,0,0
ควนขนุน,ดอนทราย,1,constituency,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านเขากอย,206,205,1,0,26,0,2,172,4,0,1
ควนขนุน,ดอนทราย,2,constituency,election_day,7.7253162,99.9828919,ศาลาประจำหมู่บ้านบ้านหม้อ,372,365,2,5,81,2,39,207,30,0,6
ควนขนุน,ดอนทราย,3,constituency,election_day,7.7066667,99.9511111,ศาลาประจำหมู่บ้านบ้านเขาวัง,301,290,7,4,53,0,22,208,7,0,0
ควนขนุน,ดอนทราย,4,constituency,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านลำรุณ,255,250,1,4,30,1,9,204,6,0,0
ควนขนุน,ดอนทราย,5,constituency,election_day,7.7173634,99.9632741,ศาลาประจำหมู่บ้านบ้านควนเหลง,475,452,14,9,76,2,49,306,19,0,0
ควนขนุน,ดอนทราย,6,constituency,election_day,7.722331100000001,99.9800438,ศาลาประจำหมู่บ้านบ้านเกาะทอง,284,272,5,7,29,0,12,215,13,1,2
ควนขนุน,ดอนทราย,7,constituency,election_day,7.7186105,99.9665503,ศาลาประจำหมู่บ้านบ้านควนดินแดง,528,519,5,4,44,2,22,434,17,0,0
ควนขนุน,ดอนทราย,8,constituency,election_day,7.7290582,99.9418062,ศาลาประจำหมู่บ้านบ้านจันนา,262,251,6,5,39,7,10,187,8,0,0
ควนขนุน,ดอนทราย,9,constituency,election_day,7.706008700000001,99.9771524,ศาลาประจำหมู่บ้านบ้านไสอ้อย,586,566,7,13,106,2,56,370,28,1,3
ควนขนุน,ดอนทราย,10,constituency,election_day,7.7714851,100.0555474,ศาลาประจำหมู่บ้านบ้านไสโพธิ์,379,369,3,7,58,2,22,276,11,0,0
ควนขนุน,ดอนทราย,11,constituency,election_day,7.7290582,99.9418062,ศาลาประจำหมู่บ้านบ้านจันนาตก,264,257,5,2,57,5,11,175,7,0,2
ศรีบรรพต,ตะแพน,1,constituency,election_day,7.6514478,99.9629591,ศาลาประจำหมู่บ้าน บ้านสวนโหนด หมู่ที่ 1,340,335,2,3,136,3,31,143,21,0,1
ศรีบรรพต,ตะแพน,2,constituency,election_day,7.6554624,99.8766586,โรงอาหารโรงเรียนวัดตะแพน,603,583,16,4,147,3,47,344,42,0,0
ศรีบรรพต,ตะแพน,3,constituency,election_day,7.639195399999998,99.8683073,ศาลาประจำหมู่บ้าน บ้านวังยาว หมู่ที่ 3,335,326,2,7,145,0,27,136,16,2,0
ศรีบรรพต,ตะแพน,4,constituency,election_day,7.6452374,99.8090063,ศาลาประจำหมู่บ้าน บ้านห้วยครก หมู่ที่ 4,144,142,2,0,62,0,3,72,5,0,0
ศรีบรรพต,ตะแพน,5,constituency,election_day,7.618795599999999,99.8236533,ศาลาประจำหมู่บ้าน บ้านท่ายูง หมู่ที่ 5,549,531,10,8,199,3,56,235,33,1,4
ศรีบรรพต,ตะแพน,6,constituency,election_day,7.6508473,99.9437136,ศาลาประจำหมู่บ้าน บ้านหน้าควน หมู่ที่ 6,376,369,4,3,128,2,56,147,35,1,0
ศรีบรรพต,ตะแพน,7,constituency,election_day,7.6497788,99.9285556,โรงอาหารโรงเรียนบ้านหัสคุณ,614,602,4,8,238,2,98,230,31,2,1
ศรีบรรพต,ตะแพน,8,constituency,election_day,7.6775386,99.8988081,สำนักสงฆ์บ้านท่าข้าม,343,335,5,3,121,3,9,190,10,1,1
ศรีบรรพต,ตะแพน,9,constituency,election_day,7.6514478,99.9629591,อาคารโรงเรียนบ้านสวนโหนด,339,324,6,9,109,5,33,155,21,0,1
ควนขนุน,ทะเลน้อย,1,constituency,election_day,7.7777536,100.1167953,ศาลาประจำหมู่บ้านบ้านทะเลน้อย,614,584,21,9,239,6,36,280,18,3,2
ควนขนุน,ทะเลน้อย,2,constituency,election_day,7.782416400000001,100.1591213,ศาลากลางบ้านหัวเลี้ยว,330,319,3,8,95,3,18,184,19,0,0
ควนขนุน,ทะเลน้อย,3,constituency,election_day,7.7872498,100.1162419,ศาลาทวดวิรุฬเจ้าแม่อุบล,341,329,6,6,123,6,13,164,22,1,0
ควนขนุน,ทะเลน้อย,4,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนออก,377,363,13,1,69,2,20,263,8,0,1
ควนขนุน,ทะเลน้อย,5,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านปลายตรอก,508,491,12,5,211,11,26,222,19,0,2
ควนขนุน,ทะเลน้อย,6,constituency,election_day,7.814868300000001,100.1479182,ศาลาประจำหมู่บ้านบ้านโคกศักดิ์,296,278,6,12,91,10,20,150,6,0,1
ควนขนุน,ทะเลน้อย,7,constituency,election_day,7.876837900000001,100.0242995,ศูนย์ศิลปาชีพบ้านหัวป่าเขียว,337,327,6,4,77,2,33,205,10,0,0
ควนขนุน,ทะเลน้อย,8,constituency,election_day,7.814868300000001,100.1479182,ศาลาประจำหมู่บ้านบ้านโคกเมา,456,433,10,13,107,5,28,269,20,2,2
ควนขนุน,ทะเลน้อย,9,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนตก,408,393,5,10,121,15,26,213,18,0,0
ควนขนุน,ทะเลน้อย,10,constituency,election_day,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านบนกลาง,387,374,12,1,98,4,21,236,14,0,1
ควนขนุน,นาขยาด,1,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านศาลาต้นรักษ์,681,653,13,15,178,0,95,312,60,4,4
ควนขนุน,นาขยาด,2,constituency,election_day,7.670382399999999,99.9823069,ศาลาประจำหมู่บ้านบ้านพังดาน,656,625,9,22,130,1,64,374,49,6,1
ควนขนุน,นาขยาด,3,constituency,election_day,7.685908899999999,99.9794414,ศาลาประจำหมู่บ้านบ้านเกาะยาง,326,316,3,7,49,1,36,207,20,2,1
ควนขนุน,นาขยาด,4,constituency,election_day,7.679982700000001,99.9576849,ศาลาประจำหมู่บ้านบ้านหนองในวัง,380,357,9,14,62,3,53,216,23,0,0
ควนขนุน,นาขยาด,5,constituency,election_day,7.591457699999999,100.0019597,ศาลาประจำหมู่บ้านบ้านนาท่อม,471,434,14,23,115,11,60,212,34,1,1
ควนขนุน,นาขยาด,6,constituency,election_day,7.668115999999999,99.955747,ศาลาประจำหมู่บ้านบ้านขันหมู่,628,591,18,19,168,5,100,278,33,4,3
