district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type,source_row_id,latitude,longitude,latlong_location,is_integrity_or_anomaly_issue,issue_num,mixed_kmeans_cluster,geo_dbscan_cluster
ศรีนครินทร์,บ้านนา,5,partylist,election_day,314,288,17,9,1,0,0,0,0,0,0,0,0,44,1,135,3,0,0,0,0,3,0,0,0,0,0,0,65,0,0,1,5,0,0,1,0,1,0,0,0,0,1,15,1,1,0,0,0,0,0,0,2,3,0,0,0,4,0,1,0,288,0,0.054140127388535,0.0286624203821656,0.9171974522292994,135.0,0.46875,0.2430555555555555,1.6159516728195435,96.71974522292994,False,True,UNUSUAL_VOTING_PATTERN,99,7.569812799999999,99.8929252,ศาลาประจำหมู่บ้านบ้านต้นไทร,True,1,1,9
ศรีนครินทร์,บ้านนา,9,partylist,election_day,329,309,9,11,0,1,0,1,0,0,1,0,0,68,0,99,3,0,0,0,0,5,0,0,1,0,0,1,37,0,1,0,2,0,0,0,0,0,0,0,3,0,0,76,4,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,309,0,0.0273556231003039,0.033434650455927,0.939209726443769,99.0,0.3203883495145631,0.0744336569579288,1.7562344498203488,97.96352583586626,False,True,UNUSUAL_VOTING_PATTERN,103,7.5640073,99.8794744,ศาลาประจำหมู่บ้านบ้านวงค์,True,1,1,9
ศรีนครินทร์,บ้านนา,12,partylist,election_day,387,361,21,5,0,1,0,0,0,0,1,1,0,43,0,229,3,0,1,0,0,2,0,0,0,0,0,1,36,0,0,2,3,1,0,0,0,0,0,0,2,0,3,18,5,0,2,1,0,0,0,0,1,3,0,0,0,2,0,0,0,361,0,0.0542635658914728,0.0129198966408268,0.9328165374677002,229.0,0.6343490304709142,0.5152354570637119,1.4145030939365315,97.02842377260984,False,True,UNUSUAL_VOTING_PATTERN,106,7.5640073,99.8794744,ที่ทำการกลุ่มแม่บ้านลำในใต้,True,1,1,9
ป่าพะยอม,บ้านพร้าว,1,partylist,election_day,438,419,7,12,1,2,0,0,0,0,1,0,0,109,0,213,3,0,0,0,0,3,0,2,0,0,0,0,45,0,4,0,3,0,0,0,0,0,0,0,1,0,0,23,3,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,419,0,0.0159817351598173,0.0273972602739726,0.95662100456621,213.0,0.5083532219570406,0.2482100238663484,1.446523376866445,98.65296803652969,False,True,UNUSUAL_VOTING_PATTERN,107,7.814176799999999,99.9520961,เต๊นท์บริเวณตลาดใหม่ป่าพะยอม,True,1,1,10
ป่าพะยอม,บ้านพร้าว,2,partylist,election_day,392,368,11,13,0,0,1,0,1,0,3,0,0,65,0,197,3,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,8,1,0,0,2,0,0,0,1,1,1,10,5,1,0,0,0,1,0,0,2,4,0,0,0,5,0,0,0,363,5,0.0280612244897959,0.0331632653061224,0.9387755102040816,197.0,0.5353260869565217,0.358695652173913,1.5326545790031734,76.57497781721385,False,False,SCORE_BALLOT_MISMATCH,108,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านพร้าว,True,1,1,10
ควนขนุน,ปันแต,11,partylist,election_day,384,358,23,3,0,0,0,1,0,0,1,0,0,32,0,212,1,0,0,0,0,5,0,0,0,0,1,0,45,0,0,4,1,1,0,2,0,1,0,0,0,0,0,30,8,2,0,1,0,0,1,1,2,3,0,0,0,3,0,0,0,358,0,0.0598958333333333,0.0078125,0.9322916666666666,212.0,0.5921787709497207,0.4664804469273743,1.520717263593315,96.84895833333331,False,True,UNUSUAL_VOTING_PATTERN,128,7.734939400000001,100.0100936,ศาลาประจำหมู่บ้านบ้านทุ่งลาน,True,1,1,0
ป่าพะยอม,ป่าพะยอม,6,partylist,election_day,531,499,12,20,0,0,0,0,0,0,4,2,0,64,0,336,3,0,1,0,0,3,1,0,0,0,0,0,37,0,1,1,9,1,1,0,0,1,0,0,0,0,1,11,3,1,0,2,0,1,0,2,1,6,0,2,0,4,0,0,0,499,0,0.0225988700564971,0.0376647834274952,0.9397363465160076,336.0,0.6733466933867736,0.5450901803607214,1.3273409679075907,98.11676082862525,False,True,UNUSUAL_VOTING_PATTERN,136,7.838677,99.863101,ศาลาประจำหมู่บ้านบ้านนาทราย,True,1,0,17
ควนขนุน,พนมวังก์,5,partylist,election_day,398,371,19,8,0,1,0,0,1,0,1,0,1,39,0,187,4,0,2,0,0,6,2,0,0,0,0,0,43,0,0,1,11,0,0,0,2,0,0,0,0,0,0,53,2,4,0,0,0,3,0,0,0,3,0,2,3,0,0,0,0,371,0,0.0477386934673366,0.0201005025125628,0.9321608040201004,187.0,0.5040431266846361,0.3611859838274933,1.7159593832201805,97.2110552763819,False,True,UNUSUAL_VOTING_PATTERN,143,7.3838149,100.2598974,ศาลาประจำหมู่บ้านบ้านพนมวังก์,True,1,1,2
ควนขนุน,พนมวังก์,6,partylist,election_day,628,596,23,9,0,5,0,0,0,0,2,0,1,72,0,200,4,0,1,0,1,3,0,1,0,0,0,0,216,0,0,1,5,1,0,0,0,0,0,0,2,0,0,55,4,3,1,1,0,0,1,1,2,8,0,0,0,5,0,0,0,596,0,0.036624203821656,0.0143312101910828,0.9490445859872612,216.0,0.3624161073825503,0.0268456375838926,1.6726820968462115,97.88216560509554,False,True,UNUSUAL_VOTING_PATTERN,144,7.6731922,100.0191857,ศาลาประจำหมู่บ้านบ้านทุ่งขึงหนัง,True,1,1,-1
ควนขนุน,พนางตุง,1,partylist,election_day,412,384,18,10,0,0,0,1,0,0,1,1,0,50,1,104,6,0,0,1,0,5,0,0,0,0,0,0,122,0,0,2,5,0,1,0,0,0,0,0,4,0,0,63,9,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,384,0,0.0436893203883495,0.0242718446601941,0.9320388349514565,122.0,0.3177083333333333,0.046875,1.8257482318307143,97.33009708737865,False,True,UNUSUAL_VOTING_PATTERN,147,7.7777536,100.1167953,ศาลาประจำหมู่บ้านบ้านทะเลน้อย,True,1,1,7
ควนขนุน,พนางตุง,2,partylist,election_day,352,326,22,4,0,1,0,0,2,0,0,0,1,47,0,94,0,0,0,0,0,2,0,0,0,0,0,0,110,0,0,0,2,1,0,0,0,0,0,0,2,1,0,48,6,1,0,1,0,0,0,3,1,2,1,0,0,0,0,0,0,326,0,0.0625,0.0113636363636363,0.9261363636363636,110.0,0.3374233128834356,0.0490797546012269,1.7013912431413405,96.64772727272728,False,True,UNUSUAL_VOTING_PATTERN,148,7.7777536,100.1167953,ศาลาประจำหมู่บ้าน หมู่ที่ 2 บ้านทะเลน้อย,True,1,1,7
ควนขนุน,พนางตุง,7,partylist,election_day,483,455,25,3,1,0,0,1,1,0,1,0,0,41,0,209,5,0,1,0,0,4,0,0,0,0,0,0,148,0,0,2,3,0,1,0,0,0,0,0,2,1,1,5,7,0,0,1,0,1,0,0,1,13,2,1,0,2,0,0,0,455,0,0.05175983436853,0.0062111801242236,0.9420289855072465,209.0,0.4593406593406593,0.134065934065934,1.536038048660175,97.287784679089,False,True,UNUSUAL_VOTING_PATTERN,153,7.767323999999999,100.08837,ศาลาประจำหมู่บ้านบ้านค่าย,True,1,1,-1
ควนขนุน,พนางตุง,10,partylist,election_day,632,592,31,9,0,3,1,0,0,0,3,0,0,60,1,338,10,0,0,0,0,3,1,2,0,0,0,1,102,0,0,0,7,1,1,0,0,0,0,0,5,0,4,28,0,0,0,2,0,1,0,1,0,4,0,0,0,0,0,0,2,581,11,0.0490506329113924,0.0142405063291139,0.9367088607594936,338.0,0.5709459459459459,0.3986486486486486,1.4616004991026554,75.40455011974,False,False,INCOMPLETE_DOCUMENT,156,7.789683200000001,100.0953331,โรงเรียนบ้านธรรมเถียร,True,1,1,-1
