district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,vote_sum,vote_mismatch,invalid_ratio,no_vote_ratio,turnout,winner_votes,winner_ratio,winner_margin,vote_entropy,validation_error,has_validation_error,integrity_score,anomaly_iforest,anomaly_dbscan,anomaly_type
กงหรา2,ชะรัด,5,constituency,election_day,399,383,12,4,204,2,33,92,50,1,1,383,0,0.03007518796992481,0.010025062656641603,0.9598997493734336,204.0,0.5326370757180157,0.2924281984334204,1.2136401536880796,,False,98.29573934837093,False,False,NORMAL
กงหรา2,ชะรัด,6,constituency,election_day,429,411,14,4,201,6,18,137,49,0,0,411,0,0.03263403263403263,0.009324009324009324,0.958041958041958,201.0,0.48905109489051096,0.15571776155717762,1.1682814957048784,,False,98.18181818181819,False,False,NORMAL
กงหรา2,ชะรัด,7,constituency,election_day,277,264,7,6,73,1,30,142,16,1,1,264,0,0.02527075812274368,0.021660649819494584,0.9530685920577617,142.0,0.5378787878787878,0.26136363636363635,1.1694024274307377,,False,98.30324909747291,False,False,NORMAL
กงหรา2,ชะรัด,8,constituency,election_day,617,590,14,13,211,3,69,277,26,3,1,590,0,0.022690437601296597,0.02106969205834684,0.9562398703403565,277.0,0.4694915254237288,0.11186440677966102,1.1757997438232894,,False,98.44408427876824,False,False,NORMAL
กงหรา2,ชะรัด,9,constituency,election_day,383,341,15,27,139,1,41,123,35,1,1,341,0,0.0391644908616188,0.07049608355091384,0.8903394255874674,139.0,0.40762463343108507,0.0469208211143695,1.2732778165709664,,False,96.63185378590077,True,True,UNUSUAL_VOTING_PATTERN
กงหรา2,ชะรัด,10,constituency,election_day,517,490,18,9,208,2,36,213,26,4,1,490,0,0.03481624758220503,0.017408123791102514,0.9477756286266924,213.0,0.4346938775510204,0.01020408163265306,1.1478506656912852,,False,97.9110251450677,False,False,NORMAL
ศรีนครินทร์,ชุมพล,1,constituency,election_day,645,610,13,22,343,2,51,170,42,1,1,610,0,0.020155038759689922,0.034108527131782945,0.9457364341085271,343.0,0.5622950819672131,0.2836065573770492,1.111296984586334,,False,98.31007751937985,False,False,NORMAL
ศรีนครินทร์,ชุมพล,2,constituency,election_day,345,332,8,5,190,3,48,66,24,1,0,332,0,0.02318840579710145,0.014492753623188406,0.9623188405797102,190.0,0.572289156626506,0.37349397590361444,1.1700790532473009,,False,98.55072463768116,False,False,NORMAL
ศรีนครินทร์,ชุมพล,3,constituency,election_day,363,342,11,10,206,1,15,88,32,0,0,342,0,0.030303030303030304,0.027548209366391185,0.9421487603305785,206.0,0.6023391812865497,0.34502923976608185,1.0305053793115517,,False,97.93388429752066,False,False,NORMAL
ศรีนครินทร์,ชุมพล,4,constituency,election_day,418,371,17,30,113,8,18,185,32,8,7,371,0,0.04066985645933014,0.07177033492822966,0.8875598086124402,185.0,0.49865229110512127,0.1940700808625337,1.307621665313712,,False,96.5311004784689,True,True,UNUSUAL_VOTING_PATTERN
ศรีนครินทร์,ชุมพล,5,constituency,election_day,402,387,15,0,178,0,54,134,18,2,1,387,0,0.03731343283582089,0.0,0.9626865671641791,178.0,0.4599483204134367,0.11369509043927649,1.184558724907986,,False,98.13432835820896,False,False,NORMAL
ศรีนครินทร์,ชุมพล,6,constituency,election_day,493,461,11,21,212,0,61,146,35,1,6,461,0,0.02231237322515213,0.04259634888438134,0.9350912778904665,212.0,0.4598698481561822,0.14316702819956617,1.2545392540987015,,False,98.03245436105477,False,False,NORMAL
ศรีนครินทร์,ชุมพล,7,constituency,election_day,274,255,6,13,130,0,26,80,18,0,1,255,0,0.021897810218978103,0.04744525547445255,0.9306569343065694,130.0,0.5098039215686274,0.19607843137254902,1.14879761981009,,False,97.95620437956205,False,False,NORMAL
ศรีนครินทร์,ชุมพล,8,constituency,election_day,637,609,10,18,229,1,65,246,66,0,2,609,0,0.015698587127158554,0.0282574568288854,0.9560439560439561,246.0,0.4039408866995074,0.027914614121510674,1.2428977807946877,,False,98.64992150706438,False,False,NORMAL
ศรีนครินทร์,ชุมพล,9,constituency,election_day,290,277,8,5,132,1,33,100,10,0,1,277,0,0.027586206896551724,0.017241379310344827,0.9551724137931035,132.0,0.47653429602888087,0.11552346570397112,1.1350013587557701,,False,98.27586206896552,False,False,NORMAL
ศรีนครินทร์,ชุมพล,10,constituency,election_day,349,340,7,2,207,0,9,112,11,1,0,340,0,0.02005730659025788,0.0057306590257879654,0.9742120343839542,207.0,0.6088235294117647,0.27941176470588236,0.8921911088225895,,False,98.88252148997134,False,False,NORMAL
ศรีนครินทร์,ชุมพล,11,constituency,election_day,547,519,12,16,228,3,43,210,30,3,2,519,0,0.021937842778793418,0.029250457038391225,0.9488117001828154,228.0,0.4393063583815029,0.03468208092485549,1.1795939036473966,,False,98.31809872029251,False,False,NORMAL
ศรีนครินทร์,ชุมพล,12,constituency,election_day,244,233,5,6,151,1,19,48,13,0,1,233,0,0.020491803278688523,0.02459016393442623,0.9549180327868853,151.0,0.648068669527897,0.44206008583690987,1.018782719085895,,False,98.48360655737706,False,False,NORMAL
ศรีนครินทร์,ชุมพล,13,constituency,election_day,254,245,1,8,159,0,44,30,11,0,1,245,0,0.003937007874015748,0.031496062992125984,0.9645669291338582,159.0,0.6489795918367347,0.46938775510204084,1.0078995105607798,,False,99.1732283464567,False,False,NORMAL
ศรีนครินทร์,ชุมพล,14,constituency,election_day,275,260,9,6,135,0,17,96,10,0,2,260,0,0.03272727272727273,0.02181818181818182,0.9454545454545454,135.0,0.5192307692307693,0.15,1.0492728094381574,,False,97.92727272727272,False,False,NORMAL
ศรีนครินทร์,ชุมพล,15,constituency,election_day,247,239,2,6,126,1,20,82,10,0,0,239,0,0.008097165991902834,0.024291497975708502,0.9676113360323887,126.0,0.5271966527196653,0.18410041841004185,1.0678317738872627,,False,99.10931174089069,False,False,NORMAL
ควนขนุน,ดอนทราย,1,constituency,election_day,206,205,1,0,26,0,2,172,4,0,1,205,0,0.0048543689320388345,0.0,0.9951456310679612,172.0,0.8390243902439024,0.7121951219512195,0.557102506913667,,False,99.75728155339806,True,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ดอนทราย,2,constituency,election_day,372,365,2,5,81,2,39,207,30,0,6,365,0,0.005376344086021506,0.013440860215053764,0.9811827956989247,207.0,0.5671232876712329,0.3452054794520548,1.1961306451994558,,False,99.46236559139786,False,False,NORMAL
ควนขนุน,ดอนทราย,3,constituency,election_day,301,290,7,4,53,0,22,208,7,0,0,290,0,0.023255813953488372,0.013289036544850499,0.9634551495016611,208.0,0.7172413793103448,0.5344827586206896,0.8345095539687725,,False,98.57142857142857,False,False,NORMAL
ควนขนุน,ดอนทราย,4,constituency,election_day,255,250,1,4,30,1,9,204,6,0,0,250,0,0.00392156862745098,0.01568627450980392,0.9803921568627451,204.0,0.816,0.696,0.6516290050403301,,False,99.49019607843137,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ดอนทราย,5,constituency,election_day,475,452,14,9,76,2,49,306,19,0,0,452,0,0.029473684210526315,0.018947368421052633,0.9515789473684211,306.0,0.6769911504424779,0.5088495575221239,0.9619507536554776,,False,98.14736842105263,False,False,NORMAL
ควนขนุน,ดอนทราย,6,constituency,election_day,284,272,5,7,29,0,12,215,13,1,2,272,0,0.017605633802816902,0.02464788732394366,0.9577464788732394,215.0,0.7904411764705882,0.6838235294117647,0.7643010702569123,,False,98.62676056338027,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ดอนทราย,7,constituency,election_day,528,519,5,4,44,2,22,434,17,0,0,519,0,0.00946969696969697,0.007575757575757576,0.9829545454545454,434.0,0.8362235067437379,0.7514450867052023,0.6261629835976079,,False,99.375,True,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ดอนทราย,8,constituency,election_day,262,251,6,5,39,7,10,187,8,0,0,251,0,0.022900763358778626,0.019083969465648856,0.9580152671755725,187.0,0.7450199203187251,0.5896414342629482,0.8466522624081574,,False,98.47328244274809,False,False,NORMAL
ควนขนุน,ดอนทราย,9,constituency,election_day,586,566,7,13,106,2,56,370,28,1,3,566,0,0.011945392491467578,0.02218430034129693,0.9658703071672355,370.0,0.6537102473498233,0.4664310954063604,1.028127279165661,,False,98.95904436860067,False,False,NORMAL
ควนขนุน,ดอนทราย,10,constituency,election_day,379,369,3,7,58,2,22,276,11,0,0,369,0,0.0079155672823219,0.018469656992084433,0.9736147757255936,276.0,0.7479674796747967,0.5907859078590786,0.8091640969255932,,False,99.23482849604221,False,True,UNUSUAL_VOTING_PATTERN
ควนขนุน,ดอนทราย,11,constituency,election_day,264,257,5,2,57,5,11,175,7,0,2,257,0,0.01893939393939394,0.007575757575757576,0.9734848484848485,175.0,0.6809338521400778,0.4591439688715953,0.9431493507682005,,False,98.90151515151514,False,False,NORMAL
ศรีบรรพต,ตะแพน,1,constituency,election_day,340,335,2,3,136,3,31,143,21,0,1,335,0,0.0058823529411764705,0.008823529411764706,0.9852941176470589,143.0,0.42686567164179107,0.020895522388059702,1.1828103587369903,,False,99.52941176470588,False,False,NORMAL
